名前,読み方,緯度,経度
鯖江駅,さばええき,35.943056,136.188889
東鯖江駅,ひがしさばええき,35.947306,136.188611
水落駅,みずおちえき,35.9625,136.183056
越前平井駅,えちぜんへいいえき,35.961667,136.164611
川去駅,かわさりえき,35.963083,136.145972
西田中駅,にしたなかえき,35.972583,136.131083
佐々生駅,さそうえき,35.954139,136.12125
陶の谷駅,すえのたにえき,35.938528,136.113639
樫津駅,かしづえき,35.941,136.08725
下江波駅,しもえなみえき,35.941833,136.074583
江波駅,えなみえき,35.939472,136.063944
矢倉駅,やぐらえき,35.949139,136.059444
織田駅,おたえき,35.958556,136.058806
